20000	91.77
19000	92.3
18000	92.27
17000	91.69
16000	92.86
15000	93.88
14000	93.55
13200	93.48
12500	92.79
11800	93.15
11200	92.72
10600	93.58
10000	94
9500	93.79
9000	93.48
8500	93.47
8000	93.9
7500	93.63
7100	94.3
6700	94.22
6300	93.69
6000	93.27
5600	93.73
5300	95.02
5000	95.8
4750	96.19
4500	95.91
4250	93.45
4000	90.78
3750	89.82
3550	89.83
3350	90.25
3150	90.6
3000	90.65
2800	90.72
2650	90.34
2500	90.45
2360	90.34
2240	90.47
2120	90.5
2000	90.3
1900	90
1800	90.23
1700	90.03
1600	89.95
1500	89.88
1400	89.72
1320	89.91
1250	89.82
1180	90.32
1120	90.38
1060	90.63
1000	90.88
950	90.91
900	91.16
850	91.52
800	91.65
750	91.76
710	91.9
670	91.83
630	91.48
600	91.24
560	90.84
530	90.21
500	89.29
475	88.5
450	87.44
425	86.44
400	85.03
375	83.73
355	82.52
335	81.33
315	80.05
300	79.04
280	77.75
265	76.57
250	75.35
236	74.33
224	73.36
212	72.31
200	71.23
190	70.3
180	69.28
170	68.27
160	67.19
150	66.05
140	64.83
132	63.81
125	62.82
118	61.8
112	60.89
106	59.95
100	58.93
