100	0.16259964
105.26316	0.15831403
113.20755	0.15534219
120	0.15452658
125	0.15426266
133.33333	0.15413216
142.85715	0.15431005
150	0.15513752
157.89473	0.15610738
166.66667	0.1577386
176.47058	0.15916514
187.5	0.15977028
200	0.16341524
209.30232	0.16524518
225	0.168653
236.8421	0.17174639
250	0.17516597
264.70587	0.18023166
279.06976	0.18538339
300	0.19205958
315.78946	0.19965218
333.33334	0.20557795
352.94116	0.20957299
375	0.22103605
394.73685	0.23160936
416.66666	0.24072643
441.17648	0.24855034
473.6842	0.2556625
500	0.25003323
529.41174	0.25212419
558.13953	0.24226567
600	0.22011963
631.57892	0.20036988
666.66669	0.17718577
705.88232	0.15530656
750	0.13110812
789.47369	0.11129028
833.33331	0.095028453
882.35297	0.079706803
947.36841	0.06348642
1000	0.053349208
1058.8235	0.045836579
1125	0.038003806
1200	0.031054743
1263.1578	0.024998469
1333.3334	0.021145821
1411.7646	0.017153822
1500	0.013007458
1578.9474	0.010634798
1666.6666	0.008804865
1764.7059	0.005426725
1894.7368	0.005023346
2000	0.003718447
